epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,233.551,0.32988,0.9986,1,0.01161,0.000473813,0.000473813,0.000473813
2,375.238,0.04178,0.9993,1,0.00512,0.000938388,0.000938388,0.000938388
3,512.554,0.05422,0.99579,1,0.01176,0.00139117,0.00139117,0.00139117
4,641.642,0.03656,0.99579,1,0.02205,0.00137595,0.00137595,0.00137595
5,767.078,0.03133,0.9993,1,0.00553,0.00135826,0.00135826,0.00135826
6,896.034,0.03811,1,1,0.00031,0.00134058,0.00134058,0.00134058
7,1024.37,0.03039,0.9993,1,0.00176,0.0013229,0.0013229,0.0013229
8,1153.52,0.0239,0.99789,1,0.00679,0.00130521,0.00130521,0.00130521
9,1282.64,0.01732,0.9993,1,0.00186,0.00128753,0.00128753,0.00128753
10,1411.84,0.01019,0.9993,1,0.00081,0.00126985,0.00126985,0.00126985
11,1737.33,0.01047,1,1,0.00042,0.00125216,0.00125216,0.00125216
12,1846.49,0.01605,1,1,0.00057,0.00123448,0.00123448,0.00123448
13,1967.6,0.00623,1,1,0.00027,0.00121679,0.00121679,0.00121679
14,2096.78,0.01306,0.9993,1,0.00292,0.00119911,0.00119911,0.00119911
15,2224.69,0.01055,1,1,0.00022,0.00118143,0.00118143,0.00118143
16,2603.62,0.00313,1,1,4e-05,0.00116374,0.00116374,0.00116374
